MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_NEW,VALUE_OLD
010,EINKBELEG,0072096566,0057218349,EKPO,010007209656600010,NETWR,U,       1000.00,       1500.00
010,EINKBELEG,0072096566,0057218349,EKPO,010007209656600020,KEY,I,,
010,EINKBELEG,0072096566,0057218626,EKPO,010007209656600010,NETPR,U,     1300.00,     1000.00
010,EINKBELEG,0072096566,0057218626,EKPO,010007209656600010,NETWR,U,       1300.00,       1000.00
010,EINKBELEG,0072096566,0057218626,EKPO,010007209656600020,NETPR,U,      400.00,      500.00
010,EINKBELEG,0072096566,0057218626,EKPO,010007209656600020,NETWR,U,        400.00,        500.00
010,EINKBELEG,0072096566,0057252157,EKPO,010007209656600020,NETPR,U,     1200.00,      400.00
010,EINKBELEG,0072096566,0057252157,EKPO,010007209656600020,NETWR,U,       1200.00,        400.00
010,EINKBELEG,0072096566,0057271540,EKPO,010007209656600010,NETPR,U,     1240.05,     1300.00
010,EINKBELEG,0072096566,0057271540,EKPO,010007209656600010,NETWR,U,       1240.05,       1300.00
